year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI,total_races,points_share,one_two_rate
1959,jbw,JBW,1,0,0,22.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1959,kurtis-kraft,Kurtis Kraft,2,0,0,18.46153846153846,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1959,kuzma,Kuzma,1,0,0,15.4,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1959,lesovsky,Lesovsky,1,0,1,17.5,0.0512820512820512,0.0,0.5,0.0512820512820512,0.1455128205128205,1,0.023148148148148112,0.0
1959,lotus,Lotus,8,0,0,14.578947368421051,0.0512820512820512,0.0,0.0,0.0064102564102564,0.0205128205128205,8,0.023148148148148112,0.0
1959,maserati,Maserati,5,0,0,15.555555555555555,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
1959,moore,Moore,1,0,0,12.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1959,phillips,Phillips,1,0,0,24.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1959,porsche,Porsche,4,0,0,12.5,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
1959,sutton,Sutton,1,0,0,30.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1959,tec-mec,Tec-Mec,1,0,0,13.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1959,vanwall,Vanwall,1,0,0,24.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1959,watson,Watson,1,1,2,10.5,0.1435897435897435,1.0,1.0,0.1435897435897435,0.6574358974358974,1,0.06481481481481478,0.0
1960,aston-martin,Aston Martin,2,0,0,17.333333333333332,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1960,behra-porsche,Behra-Porsche,2,0,0,11.5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1960,brm,BRM,8,0,1,12.434782608695652,0.0352422907488986,0.0,0.0387931034482758,0.004405286343612325,0.0237951921616284,8,0.022535211267605586,0.0
1960,christensen,Christensen,1,0,0,18.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1960,cooper,Cooper,9,12,29,11.344086021505376,1.0,1.0,1.0,0.1111111111111111,1.0,9,0.63943661971831,0.0
1960,epperly,Epperly,1,0,1,18.83333333333333,0.0176211453744493,0.0,0.3103448275862069,0.0176211453744493,0.0846346650463314,1,0.011267605633802793,0.0
1960,ewing,Ewing,1,0,0,26.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1960,ferrari,Ferrari,8,1,5,7.4,0.1894273127753304,0.09375,0.1939655172413793,0.0236784140969163,0.157074804420477,8,0.1211267605633803,0.0
1960,jbw,JBW,4,0,0,15.5,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
1960,kurtis-kraft,Kurtis Kraft,1,0,0,21.875,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1960,kuzma,Kuzma,1,0,0,12.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1960,lesovsky,Lesovsky,1,0,0,5.0,0.0088105726872246,0.0,0.0,0.0088105726872246,0.0035242290748898,1,0.0056338028169013645,0.0
1960,lotus,Lotus,8,2,7,9.636363636363637,0.2290748898678414,0.1875,0.271551724137931,0.028634361233480177,0.2251428869816193,8,0.14647887323943665,0.0
1960,maserati,Maserati,3,0,0,17.857142857142858,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
