year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI
1957,epperly,Epperly,1,1,2,1.5,0.19230769230769232,1.0,1.0,15.0,0.676923076923077
1957,ferrari,Ferrari,7,0,6,8.34375,0.6153846153846154,0.0,0.42857142857142855,6.857142857142857,0.3532967032967033
1957,kurtis-kraft,Kurtis Kraft,1,0,0,18.33333333333333,0.0641025641025641,0.0,0.0,5.0,0.02564102564102564
1957,kuzma,Kuzma,1,0,1,14.4,0.05128205128205128,0.0,0.5,4.0,0.14551282051282052
1957,lesovsky,Lesovsky,1,0,0,20.0,0.0,0.0,0.0,0.0,0.0
1957,maserati,Maserati,7,4,10,10.885245901639344,1.0,0.5714285714285714,0.7142857142857143,11.142857142857142,0.7785714285714286
1957,phillips,Phillips,1,0,0,9.0,0.0,0.0,0.0,0.0,0.0
1957,porsche,Porsche,1,0,0,14.333333333333334,0.0,0.0,0.0,0.0,0.0
1957,vanwall,Vanwall,6,3,5,9.0,0.47435897435897434,0.5,0.4166666666666667,6.166666666666667,0.4689102564102564
1957,watson,Watson,1,0,0,31.0,0.0,0.0,0.0,0.0,0.0
1958,brm,BRM,9,0,2,11.363636363636363,0.25806451612903225,0.0,0.1111111111111111,2.6666666666666665,0.13100358422939068
1958,connaught,Connaught,2,0,0,21.6,0.0,0.0,0.0,0.0,0.0
1958,cooper,Cooper,10,2,5,10.829268292682928,0.40860215053763443,0.2,0.25,3.8,0.2959408602150538
1958,dunn,Dunn,1,0,0,24.0,0.0,0.0,0.0,0.0,0.0
1958,epperly,Epperly,1,1,2,3.0,0.21505376344086022,1.0,1.0,20.0,0.6860215053763441
1958,ferrari,Ferrari,10,2,14,7.647058823529412,1.0,0.2,0.7,9.3,0.645
1958,kurtis-kraft,Kurtis Kraft,1,0,1,19.0625,0.043010752688172046,0.0,0.5,4.0,0.14220430107526882
1958,kuzma,Kuzma,1,0,0,19.8,0.0,0.0,0.0,0.0,0.0
1958,lesovsky,Lesovsky,1,0,0,22.5,0.0,0.0,0.0,0.0,0.0
1958,lotus,Lotus,9,0,0,12.263157894736842,0.03225806451612903,0.0,0.0,0.3333333333333333,0.012903225806451613
1958,maserati,Maserati,10,0,0,13.709090909090907,0.0967741935483871,0.0,0.0,0.9,0.03870967741935484
1958,osca,O.S.C.A.,1,0,0,25.5,0.0,0.0,0.0,0.0,0.0
1958,phillips,Phillips,1,0,0,7.0,0.0,0.0,0.0,0.0,0.0
1958,porsche,Porsche,2,0,0,12.666666666666666,0.0,0.0,0.0,0.0,0.0
